date,precipitation,temp_max,temp_min,wind,weather
07/02/2020,0.3,15.6,7.8,5.3,Heavy Rain
08/02/2020,2.8,10,5,2.7,Heavy Rain
09/02/2020,2.5,11.1,7.8,2.4,Heavy Rain
10/02/2020,2.5,12.8,6.7,3,Heavy Rain
11/02/2020,0.8,8.9,5.6,3.4,Heavy Rain
12/02/2020,1,8.3,5,1.3,Heavy Rain
13/02/2020,11.4,7.2,4.4,1.4,Heavy Rain
14/02/2020,2.5,6.7,1.1,3.1,
15/02/2020,0,7.2,0.6,1.8,Light Rain
16/02/2020,1.8,7.2,3.3,2.1,Heavy Rain
17/02/2020,17.3,10,4.4,3.4,Heavy Rain
18/02/2020,6.4,6.7,3.9,8.1,Heavy Rain
19/02/2020,0,6.7,2.2,4.7,Sun
20/02/2020,3,7.8,1.7,2.9,Heavy Rain
21/02/2020,0.8,10,7.8,7.5,Heavy Rain
22/02/2020,8.6,10,2.8,5.9,Heavy Rain
23/02/2020,0,8.3,2.8,3.9,Sun
24/02/2020,11.4,6.7,4.4,3.5,Heavy Rain
25/02/2020,0,7.2,2.8,6.4,Heavy Rain
26/02/2020,1.3,,-1.1,3.4,Snow
27/02/2020,0,6.7,-2.2,3,Sun
28/02/2020,3.6,6.7,-0.6,4.2,Snow
29/02/2020,0.8,5,1.1,7,Snow
01/03/2020,0,6.1,1.1,3.1,Sun
02/03/2020,2,6.7,3.9,5.1,Heavy Rain
03/03/2020,0,12.2,6.7,7,Sun
04/03/2020,0,10.6,6.7,5.6,Heavy Rain
05/03/2020,6.9,7.8,1.1,6.2,Heavy Rain
06/03/2020,0.5,6.7,0,2.7,Snow
07/03/2020,0,8.9,-1.7,2.7,Sun
08/03/2020,0,15.6,0.6,2.5,Sun
09/03/2020,3.6,9.4,5,2.8,Heavy Rain
10/03/2020,10.4,7.2,6.1,3.4,Heavy Rain
11/03/2020,13.7,6.7,2.8,5.8,Heavy Rain
12/03/2020,19.3,8.3,0.6,6.2,Snow
13/03/2020,9.4,,0.6,5.3,Snow
14/03/2020,8.6,7.8,1.1,4.7,Heavy Rain
15/03/2020,23.9,11.1,5.6,,Snow
16/03/2020,8.4,8.9,3.9,5.1,Heavy Rain
17/03/2020,9.4,10,0.6,3.8,Snow
18/03/2020,3.6,5,-0.6,2.7,Heavy Rain
19/03/2020,2,7.2,-1.1,3,Heavy Rain
20/03/2020,3.6,7.8,2.2,6.4,Heavy Rain
21/03/2020,1.3,8.9,1.1,2.5,Heavy Rain
22/03/2020,4.1,10,1.7,2.1,Heavy Rain
23/03/2020,0,12.2,0.6,2.8,Sun
24/03/2020,0,15,3.3,5.2,Sun
25/03/2020,0,13.3,2.2,,Heavy Rain
26/03/2020,0,12.8,6.1,4.3,Light Rain
27/03/2020,4.8,14.4,6.7,,Heavy Rain
28/03/2020,1.3,10.6,7.2,5.9,Heavy Rain
29/03/2020,27.4,10,6.1,4.4,Heavy Rain
30/03/2020,5.6,9.4,5,4.7,Heavy Rain
31/03/2020,13.2,10,2.8,3.4,Heavy Rain
01/04/2020,1.5,8.9,4.4,6.8,Heavy Rain
02/04/2020,0,16.7,4.4,3.1,Sun
03/04/2020,1.5,11.7,3.3,3.1,Heavy Rain
04/04/2020,0,10.6,2.8,2.1,Sun
05/04/2020,4.6,9.4,2.8,1.8,Snow
06/04/2020,0.3,11.1,3.3,2.6,Heavy Rain
07/04/2020,0,16.1,1.7,4.3,Sun
08/04/2020,0,21.1,7.2,4.1,Sun
09/04/2020,0,20,6.1,2.1,Sun
10/04/2020,0,17.8,8.9,3.2,Heavy Rain
11/04/2020,2.3,11.1,7.2,2.6,Heavy Rain
12/04/2020,0.5,13.9,5.6,2.6,Heavy Rain
12/04/2020,0.5,13.9,5.6,2.6,Heavy Rain
13/04/2020,0,15,3.9,4,Light Rain
14/04/2020,0,15.6,3.3,3,Sun
15/04/2020,0,16.1,7.2,2.9,Heavy Rain
16/04/2020,8.1,13.3,6.7,5.8,Heavy Rain
17/04/2020,1.8,10,4.4,2,Heavy Rain
18/04/2020,1.8,13.3,7.2,3.9,Heavy Rain
19/04/2020,10.9,13.9,5,2.6,Heavy Rain
20/04/2020,6.6,13.3,6.7,2.7,Heavy Rain
21/04/2020,0,20,4.4,2.3,Sun
22/04/2020,0,23.3,8.3,2.6,Heavy Rain
23/04/2020,0,21.7,8.9,3.5,Sun
24/04/2020,4.3,13.9,10,2.8,Heavy Rain
25/04/2020,10.7,16.7,8.9,2.6,Heavy Rain
26/04/2020,3.8,13.9,6.7,5.2,Heavy Rain
27/04/2020,0.8,13.3,6.1,4.8,Heavy Rain
28/04/2020,0,16.1,8.3,2.5,Light Rain
29/04/2020,4.3,15.6,8.9,1.6,Heavy Rain
30/04/2020,4.3,12.8,7.2,8,Heavy Rain
01/05/2020,0.5,11.7,6.1,6.4,Heavy Rain
02/05/2020,0.5,13.3,5.6,2.5,Heavy Rain
03/05/2020,18.5,11.1,7.2,3.4,Heavy Rain
04/05/2020,1.8,12.2,6.1,4.6,Heavy Rain
05/05/2020,0,13.3,5,2.3,Sun
06/05/2020,0,17.8,5,2.4,Sun
07/05/2020,0,23.9,6.1,2.2,Sun
08/05/2020,0,18.3,9.4,3,Sun
09/05/2020,0,13.3,6.7,3.9,Heavy Rain
10/05/2020,0,14.4,3.9,3,Sun
11/05/2020,0,18.3,4.4,4.3,Sun
12/05/2020,0,24.4,6.7,3.4,Sun
13/05/2020,0,25.6,9.4,4.2,Sun
14/05/2020,0,26.7,12.8,3.8,Sun
15/05/2020,0,24.4,9.4,4.1,Light Rain
16/05/2020,0,19.4,9.4,3.5,Sun
17/05/2020,0,17.8,6.7,2.9,Heavy Rain
18/05/2020,0,15.6,7.8,3.1,Heavy Rain
19/05/2020,0,19.4,7.2,1.5,Sun
20/05/2020,6.4,14.4,11.7,1.3,Heavy Rain
21/05/2020,14,16.7,10,4,Heavy Rain
22/05/2020,6.1,12.8,8.9,4.8,Heavy Rain
23/05/2020,0.3,14.4,8.9,6.3,Heavy Rain
24/05/2020,0,17.2,8.9,3.3,Heavy Rain
25/05/2020,0,22.2,8.9,3.1,Heavy Rain
26/05/2020,0,22.2,8.9,3.6,Sun
27/05/2020,0,17.2,11.7,3.7,Sun
28/05/2020,0,16.7,10,3.4,Heavy Rain
29/05/2020,0,16.1,7.8,1.8,Sun
30/05/2020,0.3,18.9,11.1,1.5,Heavy Rain
31/05/2020,3.8,17.8,12.2,2.7,Heavy Rain
01/06/2020,6.6,20,12.8,3.7,Heavy Rain
02/06/2020,0.3,18.9,10.6,3.7,Heavy Rain
03/06/2020,0,17.2,9.4,2.9,Sun
04/06/2020,1.3,12.8,8.9,3.1,Heavy Rain
05/06/2020,16,13.3,8.3,3.3,Heavy Rain
06/06/2020,0,16.1,6.1,3.4,Sun
07/06/2020,16.5,16.1,8.9,3.5,Heavy Rain
08/06/2020,1.5,15,8.3,3,Heavy Rain
09/06/2020,0,17.2,8.3,4.7,Heavy Rain
10/06/2020,0,18.9,10,2.9,Sun
11/06/2020,0,23.3,10,1.8,Heavy Rain
12/06/2020,0.8,18.3,12.8,3.9,Heavy Rain
13/06/2020,0,16.1,11.1,4.3,Sun
14/06/2020,0,17.2,10,2.7,Sun
15/06/2020,0,22.2,9.4,1.7,Sun
16/06/2020,0,21.1,15,4.1,Heavy Rain
17/06/2020,0,18.9,11.7,6.4,Sun
18/06/2020,3,17.2,10,3.8,Heavy Rain
19/06/2020,1,19.4,10,3,Heavy Rain
20/06/2020,0,24.4,10,3,Sun
21/06/2020,0,23.9,11.7,2.1,Sun
22/06/2020,15.7,13.9,11.7,1.9,Heavy Rain
23/06/2020,8.6,15.6,9.4,2.5,Heavy Rain
24/06/2020,0,19.4,9.4,2,Light Rain
25/06/2020,0.5,19.4,11.1,3.1,Heavy Rain
26/06/2020,0,18.3,10.6,3.4,Heavy Rain
27/06/2020,0,22.8,8.9,1.8,Sun
28/06/2020,0,22.2,11.7,2.5,Heavy Rain
29/06/2020,0.3,21.7,15,1.9,Heavy Rain
30/06/2020,3,20,13.3,2.4,Heavy Rain
01/07/2020,0,20,12.2,2.3,Heavy Rain
02/07/2020,2,18.9,11.7,2.1,Heavy Rain
03/07/2020,5.8,18.3,10.6,6,Heavy Rain
04/07/2020,0,20.6,9.4,3.8,Sun
05/07/2020,0,24.4,10.6,3.1,Light Rain
06/07/2020,0,25,11.1,2.1,Sun
07/07/2020,0,26.7,12.8,3.8,Sun
08/07/2020,0,28.3,14.4,2.8,Heavy Rain
09/07/2020,1.5,25,12.8,2,Heavy Rain
10/07/2020,0,23.9,11.1,2.3,Light Rain
11/07/2020,0,27.8,13.3,2.9,fog
12/07/2020,0,25.6,13.3,2.7,Light Rain
13/07/2020,0.5,23.3,13.9,2.2,Heavy Rain
14/07/2020,0,25,15,2.2,Heavy Rain
15/07/2020,0,18.9,13.3,3.8,Heavy Rain
16/07/2020,0.3,26.1,13.3,2.5,Heavy Rain
17/07/2020,0,21.7,15,2.6,Sun
18/07/2020,0,21.1,14.4,2.9,Sun
19/07/2020,0,25,14.4,2.2,Sun
20/07/2020,15.2,19.4,13.9,4,Heavy Rain
21/07/2020,0,23.9,13.9,2.3,Sun
22/07/2020,1,20.6,12.2,3.9,Heavy Rain
23/07/2020,0,18.9,11.1,3.3,Heavy Rain
24/07/2020,0,23.3,12.2,4.3,Sun
25/07/2020,0,26.7,12.8,2.6,Sun
26/07/2020,0,25.6,12.8,2.2,Light Rain
27/07/2020,0,18.9,13.9,2.8,Light Rain
28/07/2020,0,22.2,13.3,1.7,Light Rain
29/07/2020,0,22.8,15,2,Sun
30/07/2020,0,19.4,13.3,3,Sun
31/07/2020,0,22.8,13.9,2.8,Sun
01/08/2020,0,23.9,13.3,2.2,Light Rain
02/08/2020,0,23.3,12.2,2.5,Sun
03/08/2020,0,27.2,12.8,3.9,Sun
04/08/2020,0,33.9,16.7,3.7,Sun
05/08/2020,0,33.9,17.8,1.9,Sun
06/08/2020,0,28.3,15.6,2.5,Heavy Rain
07/08/2020,0,21.1,15,2.6,Light Rain
08/08/2020,0,22.2,15,3.1,Sun
09/08/2020,0,24.4,14.4,3.8,Light Rain
10/08/2020,0,25.6,12.2,2.3,Sun
11/08/2020,0,28.3,13.3,2.5,Sun
12/08/2020,0,30.6,15,3,Sun
13/08/2020,0,30.6,15,2.8,Sun
14/08/2020,0,28.9,13.9,2.8,Sun
15/08/2020,0,31.1,16.7,4.7,Sun
16/08/2020,0,34.4,18.3,2.8,Sun
17/08/2020,0,32.8,16.1,1.8,Sun
18/08/2020,0,21.7,14.4,3,Light Rain
19/08/2020,0,23.3,15,2.7,Light Rain
20/08/2020,0,25.6,15,1.9,Sun
21/08/2020,0,23.3,13.3,3,Heavy Rain
22/08/2020,0,22.2,13.3,2.3,Sun
23/08/2020,0,21.1,13.9,3.8,Sun
24/08/2020,0,22.2,10,3.3,Sun
25/08/2020,0,26.1,11.7,3.2,Sun
26/08/2020,0,21.1,12.2,3.4,Sun
27/08/2020,0,23.9,13.3,1.8,Sun
28/08/2020,0,22.8,12.2,3.2,Sun
29/08/2020,0,22.8,13.3,2.4,Sun
30/08/2020,0,22.8,12.8,1.9,Sun
31/08/2020,0,22.2,10.6,2.9,Sun
01/09/2020,0,21.7,10.6,2.1,Sun
02/09/2020,0,21.1,10,2,Sun
03/09/2020,0,22.8,12.8,3.3,Sun
04/09/2020,0,24.4,11.1,3.1,Sun
05/09/2020,0,26.1,11.7,2.6,Sun
06/09/2020,0,28.3,14.4,4.2,Sun
07/09/2020,0,32.2,13.3,3.1,Sun
08/09/2020,0,25,13.3,3,Sun
09/09/2020,0.3,18.9,13.9,5,Heavy Rain
10/09/2020,0.3,20,11.7,3.9,Heavy Rain
11/09/2020,0,20,8.9,4.2,Sun
12/09/2020,0,22.2,10,5.6,Sun
13/09/2020,0,27.8,11.7,3.6,Sun
14/09/2020,0,26.1,11.1,1.5,Sun
15/09/2020,0,22.2,11.1,1.9,Sun
16/09/2020,0,24.4,9.4,2.3,Sun
17/09/2020,0,27.8,11.7,2.2,fog
18/09/2020,0,27.8,11.7,1.4,Sun
19/09/2020,0,23.9,11.7,1.9,Light Rain
20/09/2020,0,19.4,10,2.5,Light Rain
21/09/2020,0,16.1,12.8,2.1,Light Rain
22/09/2020,0.3,19.4,11.7,1.1,Heavy Rain
23/09/2020,0,19.4,10,1.4,fog
24/09/2020,0,21.1,10,1.8,fog
25/09/2020,0,19.4,11.1,1.7,Sun
26/09/2020,0,19.4,9.4,1.7,Light Rain
27/09/2020,0,22.8,10,1.7,Light Rain
28/09/2020,0,25,12.2,1.1,Heavy Rain
29/09/2020,0,20.6,12.2,4.3,Sun
30/09/2020,0,21.1,7.8,3.1,Sun
01/10/2020,0,23.3,8.9,3,Sun
02/10/2020,0,17.8,10,4.1,Sun
03/10/2020,0,18.9,7.8,7.3,Sun
04/10/2020,0,18.9,8.3,6.5,Sun
05/10/2020,0,21.7,8.9,5.7,Sun
06/10/2020,0,23.9,7.8,5.1,Sun
07/10/2020,0,23.9,7.8,1.3,Sun
08/10/2020,0,21.1,7.8,1.9,Sun
09/10/2020,0,16.1,8.9,1.6,Light Rain
10/10/2020,0,12.2,8.3,1.4,Light Rain
11/10/2020,0,13.9,7.2,1.3,Light Rain
12/10/2020,2,13.9,8.9,4.6,Heavy Rain
13/10/2020,4.8,15.6,12.2,3.9,Heavy Rain
14/10/2020,16.5,17.8,13.3,3.4,Heavy Rain
15/10/2020,7.9,17.2,11.1,4.6,Heavy Rain
16/10/2020,0,16.1,8.3,5.5,Sun
17/10/2020,0,14.4,6.1,1.6,Sun
18/10/2020,20.8,17.8,6.7,2,Heavy Rain
19/10/2020,4.8,15,9.4,5.3,Heavy Rain
20/10/2020,0.5,11.1,6.1,5.7,Heavy Rain
21/10/2020,6.4,11.7,4.4,2.7,Heavy Rain
22/10/2020,8.9,7.8,3.3,2.6,Heavy Rain
23/10/2020,0,11.1,5.6,3,Heavy Rain
24/10/2020,7.1,11.7,6.1,2.1,Heavy Rain
25/10/2020,0,11.7,6.7,1.5,Sun
26/10/2020,1.5,11.1,7.2,2.5,Heavy Rain
27/10/2020,23.1,14.4,9.4,5.1,Heavy Rain
28/10/2020,6.1,14.4,10,3.8,Heavy Rain
29/10/2020,10.9,15.6,10,4.9,Heavy Rain
30/10/2020,34.5,15,12.2,2.8,Heavy Rain
31/10/2020,14.5,15.6,11.1,2.7,Heavy Rain
01/11/2020,9.7,15,10.6,3,Heavy Rain
02/11/2020,5.6,15,10.6,1,Heavy Rain
03/11/2020,0.5,15.6,11.1,3.6,Heavy Rain
04/11/2020,8.1,17.8,12.8,3.8,Heavy Rain
05/11/2020,0.8,15,7.8,4,Heavy Rain
06/11/2020,0.3,12.8,6.7,3.5,Heavy Rain
07/11/2020,0,12.2,3.9,3.4,Heavy Rain
08/11/2020,0,10,1.1,3.4,Heavy Rain
09/11/2020,0,8.9,1.1,2,Heavy Rain
10/11/2020,0,7.8,-0.6,2.2,Sun
11/11/2020,15.2,8.9,1.1,3,Heavy Rain
12/11/2020,3.6,12.8,6.1,3,Heavy Rain
13/11/2020,5.3,11.1,7.8,2.5,Heavy Rain
14/11/2020,0.8,11.1,5,2.6,Heavy Rain
15/11/2020,0,9.4,2.8,2.4,Light Rain
16/11/2020,5.6,9.4,2.2,1.6,Heavy Rain
17/11/2020,6.1,12.2,6.1,5.3,Heavy Rain
18/11/2020,7.9,10,6.1,4.9,Heavy Rain
19/11/2020,54.1,13.3,8.3,6,Heavy Rain
20/11/2020,3.8,11.1,7.2,4.2,Heavy Rain
21/11/2020,11.2,8.3,3.9,5.5,Heavy Rain
22/11/2020,0,8.9,2.8,1.5,Heavy Rain
23/11/2020,32,9.4,6.1,2.4,Heavy Rain
24/11/2020,0,8.9,3.9,1.2,Heavy Rain
25/11/2020,0,8.3,1.1,3.6,Light Rain
26/11/2020,0,9.4,1.7,3.8,fog
27/11/2020,0,10,1.7,1.5,Sun
28/11/2020,2.8,9.4,2.2,2.9,Heavy Rain
29/11/2020,1.5,12.8,7.8,4.2,Heavy Rain
30/11/2020,35.6,15,7.8,4.6,Heavy Rain
01/12/2020,4.1,13.3,8.3,5.5,Heavy Rain
02/12/2020,19.6,8.3,7.2,6.2,Heavy Rain
03/12/2020,13,9.4,7.2,4.4,Heavy Rain
04/12/2020,14.2,11.7,7.2,6.2,Heavy Rain
05/12/2020,1.5,8.9,4.4,5,Heavy Rain
06/12/2020,1.5,7.2,6.1,5.1,Heavy Rain
07/12/2020,1,7.8,3.3,4.6,Heavy Rain
08/12/2020,0,6.7,3.3,2,Sun
09/12/2020,1.5,6.7,2.8,2.1,Heavy Rain
10/12/2020,0.5,7.2,5.6,1.8,Heavy Rain
11/12/2020,3,7.8,5.6,4.5,Heavy Rain
12/12/2020,8.1,6.7,4.4,2,Heavy Rain
13/12/2020,2.3,7.2,3.3,2.8,Heavy Rain
14/12/2020,7.9,6.1,1.1,1.7,Heavy Rain
15/12/2020,5.3,4.4,0.6,5.1,Snow
16/12/2020,22.6,6.7,3.3,5.5,Snow
17/12/2020,2,8.3,1.7,9.5,Heavy Rain
18/12/2020,3.3,3.9,0.6,5.3,Snow
19/12/2020,13.7,8.3,1.7,5.8,Snow
20/12/2020,13.2,7.2,0.6,3.7,Heavy Rain
21/12/2020,1.8,8.3,-1.7,1.7,Heavy Rain
22/12/2020,3.3,8.3,3.9,3.5,Heavy Rain
23/12/2020,6.6,7.2,3.3,2.5,Heavy Rain
24/12/2020,0.3,5.6,2.8,2.8,Heavy Rain
25/12/2020,13.5,5.6,2.8,4.2,Snow
26/12/2020,4.6,6.7,3.3,4.9,Heavy Rain
27/12/2020,4.1,7.8,3.3,3.2,Heavy Rain
28/12/2020,0,8.3,3.9,1.7,Heavy Rain
29/12/2020,1.5,5,3.3,1.7,Heavy Rain
30/12/2020,0,4.4,0,1.8,Light Rain
31/12/2020,0,3.3,-1.1,2,Light Rain
01/01/2021,0,5,-2.8,2.7,Sun
02/01/2021,0,6.1,-1.1,3.2,Sun
03/01/2021,4.1,6.7,-1.7,3,Heavy Rain
04/01/2021,2.5,10,2.2,2.8,Heavy Rain
05/01/2021,3,6.7,4.4,3.1,Heavy Rain
06/01/2021,2,7.2,2.8,3,Heavy Rain
07/01/2021,2.3,10,4.4,7.3,Heavy Rain
08/01/2021,16.3,11.7,5.6,6.3,Heavy Rain
09/01/2021,38.4,10,1.7,5.1,Heavy Rain
10/01/2021,0.3,3.3,-0.6,2.1,Snow
11/01/2021,0,2.8,-2.8,1.9,Light Rain
12/01/2021,0,2.8,-3.9,2,Sun
13/01/2021,0,2.2,-4.4,1.5,Sun
14/01/2021,0,3.3,-2.2,1.3,Sun
15/01/2021,0,6.7,-0.6,2.3,Sun
16/01/2021,0,6.1,-3.9,1.8,Light Rain
17/01/2021,0,3.9,-2.8,1,Light Rain
18/01/2021,0,3.3,-1.1,1.3,Light Rain
19/01/2021,0,1.1,-0.6,1.9,Light Rain
20/01/2021,0,3.3,-0.6,2.1,Light Rain
21/01/2021,0,2.2,-1.7,1.1,Light Rain
22/01/2021,0,3.3,-1.7,0.6,Light Rain
23/01/2021,5.1,7.2,2.2,3.1,Heavy Rain
24/01/2021,5.8,7.2,1.1,2.6,Heavy Rain
25/01/2021,3,10.6,2.8,2.1,Heavy Rain
26/01/2021,2.3,8.3,3.9,4.5,Heavy Rain
27/01/2021,1.8,5.6,3.9,4.5,Heavy Rain
28/01/2021,7.9,6.1,3.3,3.2,Heavy Rain
29/01/2021,4.3,8.3,5,3.9,Heavy Rain
30/01/2021,3.6,8.9,6.7,3.9,Heavy Rain
31/01/2021,3,9.4,7.2,4,Heavy Rain
01/02/2021,0.3,11.7,5,2.9,Heavy Rain
02/02/2021,0,6.1,2.8,2,Light Rain
03/02/2021,2.3,8.9,2.8,2.9,Heavy Rain
04/02/2021,0,10.6,6.7,2.6,Heavy Rain
05/02/2021,3.3,10,6.7,5.1,Heavy Rain
06/02/2021,1,10.6,6.1,4.5,Heavy Rain
07/02/2021,1.3,9.4,3.3,4.1,Heavy Rain
08/02/2021,0,7.8,2.2,1.3,Sun
09/02/2021,0.3,8.3,4.4,1.3,Heavy Rain
10/02/2021,0,8.9,1.7,2,Light Rain
11/02/2021,0.3,8.3,4.4,1.4,Heavy Rain
12/02/2021,1,11.1,7.2,5.6,Heavy Rain
13/02/2021,2.3,9.4,7.2,4.1,Heavy Rain
14/02/2021,1,9.4,5.6,2.2,Heavy Rain
15/02/2021,0,13.3,5,2.4,Light Rain
16/02/2021,0,11.1,3.9,5.6,Heavy Rain
17/02/2021,0,9.4,4.4,3.4,Heavy Rain
18/02/2021,0,7.8,3.9,1.9,Heavy Rain
19/02/2021,0,10.6,1.7,3.4,Sun
20/02/2021,1.5,7.8,1.1,2.1,Heavy Rain
21/02/2021,0.5,6.7,3.9,6.2,Heavy Rain
22/02/2021,9.4,7.8,3.9,8.1,Heavy Rain
23/02/2021,0.3,10,3.9,4.6,Heavy Rain
24/02/2021,0,8.9,5,5.5,Heavy Rain
25/02/2021,2.3,10.6,3.3,7.1,Heavy Rain
26/02/2021,0.5,8.9,3.9,3.8,Heavy Rain
27/02/2021,4.6,10,4.4,1.8,Heavy Rain
28/02/2021,8.1,11.7,6.7,3.8,Heavy Rain
01/03/2021,4.1,15,11.1,5.4,Heavy Rain
02/03/2021,0.8,13.9,5,4.5,Heavy Rain
03/03/2021,0,11.1,2.2,2.8,Sun
04/03/2021,0,13.3,0,3.9,Sun
05/03/2021,0,9.4,6.1,2.4,Heavy Rain
06/03/2021,11.9,7.2,5,4.1,Heavy Rain
07/03/2021,7.4,12.2,5,2.5,Heavy Rain
08/03/2021,0,11.7,2.2,2.6,Light Rain
09/03/2021,0,12.8,1.1,1.3,fog
10/03/2021,0.8,7.8,3.9,1.6,Heavy Rain
11/03/2021,1.3,10.6,6.1,1.1,Heavy Rain
12/03/2021,2,12.8,10,5.7,Heavy Rain
13/03/2021,2.3,11.7,9.4,3.7,Heavy Rain
14/03/2021,2.8,11.7,9.4,3,Heavy Rain
15/03/2021,0,14.4,8.9,4.3,Heavy Rain
16/03/2021,4.3,10.6,4.4,6.4,Heavy Rain
17/03/2021,0,8.9,3.9,6.1,Sun
18/03/2021,0,11.7,3.9,5.9,Heavy Rain
19/03/2021,11.7,12.8,1.7,3.4,Heavy Rain
20/03/2021,9.9,11.1,4.4,7.6,Heavy Rain
21/03/2021,8.1,10,2.2,4.9,Snow
22/03/2021,0,9.4,0.6,2.2,Sun
23/03/2021,0,10,1.1,2.6,Sun
24/03/2021,0,12.2,0.6,2.1,Sun
25/03/2021,0,16.7,4.4,2.8,Sun
26/03/2021,0,16.7,6.1,1.7,Sun
27/03/2021,0.3,13.3,7.2,1.6,Heavy Rain
28/03/2021,2,16.1,8.3,1.3,Heavy Rain
29/03/2021,0,18.3,7.8,2.5,Heavy Rain
30/03/2021,0,20,5.6,4.4,Light Rain
31/03/2021,0,20.6,6.7,2.9,Sun
01/04/2021,0,17.2,8.3,3.6,Sun
02/04/2021,0,13.9,8.9,2.2,Sun
03/04/2021,0,16.7,7.8,1.6,Sun
04/04/2021,8.4,14.4,10,3,Heavy Rain
05/04/2021,18.5,13.9,10,5.6,Heavy Rain
06/04/2021,12.7,12.2,7.2,5,Heavy Rain
07/04/2021,39.1,8.3,5,3.9,Heavy Rain
08/04/2021,0.8,13.3,6.1,3.1,Heavy Rain
09/04/2021,0,12.2,6.1,2.4,Sun
10/04/2021,9.4,15,8.9,6.4,Heavy Rain
11/04/2021,1.5,12.2,6.7,3.8,Heavy Rain
12/04/2021,9.7,7.8,4.4,4.6,Heavy Rain
13/04/2021,9.4,10.6,3.3,5.7,Heavy Rain
14/04/2021,5.8,12.8,4.4,2.3,Heavy Rain
15/04/2021,0,13.9,4.4,2.4,fog
16/04/2021,0.3,13.9,3.3,2.6,Heavy Rain
17/04/2021,0,15,3.9,3.3,Light Rain
18/04/2021,5.3,11.7,6.7,4,Heavy Rain
19/04/2021,20.6,13.3,9.4,4.9,Heavy Rain
20/04/2021,0,13.9,8.3,5.8,Sun
21/04/2021,3.3,12.2,6.7,4.1,Heavy Rain
22/04/2021,0,16.1,5,4.3,Sun
23/04/2021,0,17.8,3.9,2.8,Sun
24/04/2021,0,21.1,6.1,3,Sun
25/04/2021,0,21.7,6.7,1.1,Sun
26/04/2021,0,20.6,8.3,2.2,fog
27/04/2021,0,13.9,10.6,5.9,Sun
28/04/2021,1,15,9.4,5.2,Heavy Rain
29/04/2021,3.8,13.9,6.7,4.2,Heavy Rain
30/04/2021,0,12.8,4.4,2.4,Sun
01/05/2021,0,18.3,3.3,3.1,Sun
02/05/2021,0,20.6,6.7,4,Sun
03/05/2021,0,21.7,9.4,4.9,Sun
04/05/2021,0,25,11.1,6.5,Sun
05/05/2021,0,28.9,11.7,5.3,Sun
06/05/2021,0,30.6,12.2,2,Sun
07/05/2021,0,20.6,11.1,3.3,Sun
08/05/2021,0,19.4,11.1,1.9,Sun
09/05/2021,0,22.8,10,1.3,Sun
10/05/2021,0,26.1,9.4,1,Sun
11/05/2021,0,27.2,12.2,2.6,Sun
12/05/2021,6.6,21.7,13.9,3.9,Heavy Rain
13/05/2021,3.3,18.9,9.4,5,Heavy Rain
14/05/2021,0,18.3,7.8,2.4,Sun
15/05/2021,1,17.2,8.9,2.3,Heavy Rain
16/05/2021,0,21.7,12.2,2.7,fog
17/05/2021,0.5,17.2,11.7,3.7,Heavy Rain
18/05/2021,0,16.7,11.1,2.9,Sun
19/05/2021,0,18.3,10.6,2.3,Sun
20/05/2021,0,19.4,9.4,1.8,Sun
